domain	enst_id	chrom	strand	chromStart	chromEnd	cdsStart	cdsEnd	domain_count	domain_start	domain_end	part_type	source
SV2C__Sugar transporter, conserved site	ENST00000502798	chr5	+	76083383	76353939	76131751	76325547	2	76195086,76209736	76195099,76209799	conserved_site	prosite
SV2C__Pentapeptide repeat	ENST00000502798	chr5	+	76083383	76353939	76131751	76325547	3	76295941,76298794,76300729	76295942,76298927,76300790	repeat	pfam
SV2C__Major facilitator superfamily	ENST00000502798	chr5	+	76083383	76353939	76131751	76325547	3	76300833,76301386,76325364	76300932,76301545,76325529	family	pfam
ZNF608__Zinc finger protein 608/609	ENST00000513986	chr5	-	124636913	124748807	124744989	124637900	9	124744084,124701014,124649610,124646679,124644244,124643511,124641252,124639133,124637903	124744989,124701269,124649697,124649133,124644661,124643683,124641405,124639214,124637906	family	panther
ZNF608__Zinc finger C2H2-type	ENST00000513986	chr5	-	124636913	124748807	124744989	124637900	1	124648650	124648721	domain	profile,prosite,pfam,smart
ELOVL7__Elongation of very long chain fatty acids protein 7	ENST00000508821	chr5	-	60751791	60844274	60787397	60754624	7	60787334,60771903,60767823,60766574,60764227,60757509,60754627	60787397,60772093,60767903,60766630,60764332,60757645,60754833	family	hamap,panther
ELOVL7__ELO family	ENST00000508821	chr5	-	60751791	60844274	60787397	60754624	7	60787334,60771903,60767823,60766574,60764227,60757509,60754642	60787394,60772093,60767903,60766630,60764332,60757645,60754833	family	pfam,panther
ELOVL7__ELO family, conserved site	ENST00000508821	chr5	-	60751791	60844274	60787397	60754624	1	60764273	60764299	conserved_site	prosite
PAM__Peptidylglycine alpha-hydroxylating monooxygenase/peptidyl-hydroxyglycine alpha-amidating lyase	ENST00000438793	chr5	+	102753981	103029730	102866196	103029065	15	102866247,102867273,102913936,102924994,102926585,102949940,102950717,102950816,102959875,102990355,103003033,103005182,103006801,103006882,103017349	102866284,102867291,102914001,102925042,102926595,102949978,102950737,102950820,102959929,102990401,103003042,103005226,103006815,103006953,103017420	family	prints
PAM__Copper type II, ascorbate-dependent monooxygenase, N-terminal domain superfamily	ENST00000438793	chr5	+	102753981	103029730	102866196	103029065	7	102867307,102901356,102913934,102924957,102926585,102946837,102948378	102867393,102901413,102914021,102925042,102926668,102946885,102948393	homologous_superfamily	cathgene3d
PAM__PHM/PNGase F domain superfamily	ENST00000438793	chr5	+	102753981	103029730	102866196	103029065	11	102867313,102901356,102913934,102924957,102926585,102946837,102948379,102949537,102949902,102950717,102959875	102867393,102901413,102914021,102925042,102926668,102946880,102948445,102949617,102949978,102950820,102960019	homologous_superfamily	ssf
PAM__Copper type II, ascorbate-dependent monooxygenase, N-terminal	ENST00000438793	chr5	+	102753981	103029730	102866196	103029065	5	102867361,102901356,102913934,102924957,102926585	102867393,102901413,102914021,102925042,102926655	domain	pfam
PAM__Copper type II, ascorbate-dependent monooxygenase, histidine-cluster-1 conserved site	ENST00000438793	chr5	+	102753981	103029730	102866196	103029065	1	102913969	102913992	conserved_site	prosite
PAM__Copper type II ascorbate-dependent monooxygenase, C-terminal	ENST00000438793	chr5	+	102753981	103029730	102866196	103029065	5	102948391,102949537,102949902,102950717,102959875	102948445,102949617,102949978,102950820,102959989	domain	pfam
PAM__Copper type II, ascorbate-dependent monooxygenase-like, C-terminal	ENST00000438793	chr5	+	102753981	103029730	102866196	103029065	5	102948394,102949537,102949902,102950717,102959875	102948445,102949617,102949978,102950820,102960013	homologous_superfamily	cathgene3d
PAM__Copper type II, ascorbate-dependent monooxygenase, histidine-cluster-2 conserved site	ENST00000438793	chr5	+	102753981	103029730	102866196	103029065	2	102949581,102949902	102949617,102949903	conserved_site	prosite
PAM__Six-bladed beta-propeller, TolB-like	ENST00000438793	chr5	+	102753981	103029730	102866196	103029065	9	102974421,102990272,103003033,103005154,103006801,103007457,103009751,103017334,103019790	102974436,102990401,103003149,103005226,103007011,103007657,103009866,103017433,103019809	homologous_superfamily	cathgene3d
PAM__NHL repeat	ENST00000438793	chr5	+	102753981	103029730	102866196	103029065	8	103003118,103005154,103006801,103006846,103007005,103007457,103009831,103017334	103003149,103005226,103006821,103006983,103007011,103007584,103009866,103017429	repeat	profile,pfam
HLA-DRB5__MHC classes I/II-like antigen recognition protein	ENST00000374975	chr6	-	32517353	32530287	32530224	32517739	2	32530125,32521909	32530209,32522174	homologous_superfamily	ssf
HLA-DRB5__MHC class II, alpha/beta chain, N-terminal	ENST00000374975	chr6	-	32517353	32530287	32530224	32517739	2	32530125,32521915	32530206,32522174	homologous_superfamily	cathgene3d
HLA-DRB5__MHC class II, beta chain, N-terminal	ENST00000374975	chr6	-	32517353	32530287	32530224	32517739	1	32521927	32522151	domain	smart,pfam
HLA-DRB5__Immunoglobulin-like fold	ENST00000374975	chr6	-	32517353	32530287	32530224	32517739	3	32521905,32519370,32518632	32521911,32519651,32518666	homologous_superfamily	cathgene3d
HLA-DRB5__Immunoglobulin-like domain	ENST00000374975	chr6	-	32517353	32530287	32530224	32517739	1	32519380	32519646	domain	pfam,profile
HLA-DRB5__Immunoglobulin C1-set	ENST00000374975	chr6	-	32517353	32530287	32530224	32517739	1	32519386	32519640	domain	pfam,smart
HLA-DRB5__Immunoglobulin-like domain superfamily	ENST00000374975	chr6	-	32517353	32530287	32530224	32517739	2	32519370,32518665	32519637,32518666	homologous_superfamily	ssf
HLA-DRB5__Immunoglobulin/major histocompatibility complex, conserved site	ENST00000374975	chr6	-	32517353	32530287	32530224	32517739	1	32519404	32519424	conserved_site	prosite
RPS12__Ribosomal protein S12e	ENST00000230050	chr6	+	132814569	132817564	132814769	132817542	5	132814769,132814972,132816461,132816960,132817480	132814782,132815088,132816563,132817061,132817539	family	panther,prosite,prints
RPS12__50S ribosomal protein L30e-like	ENST00000230050	chr6	+	132814569	132817564	132814769	132817542	5	132814769,132814972,132816461,132816960,132817480	132814782,132815088,132816563,132817061,132817539	homologous_superfamily	cathgene3d,ssf
RPS12__Ribosomal protein L7Ae/L30e/S12e/Gadd45	ENST00000230050	chr6	+	132814569	132817564	132814769	132817542	3	132815006,132816461,132816960	132815088,132816563,132817055	domain	pfam
SLC44A4__Choline transporter-like	ENST00000229729	chr6	-	31863192	31879046	31878980	31863627	21	31878941,31877034,31876056,31875852,31874929,31874721,31874460,31871474,31871314,31870812,31870603,31869545,31869155,31865873,31865690,31865498,31865315,31865010,31864816,31864652,31863648	31878956,31877082,31876129,31875930,31875028,31874846,31874520,31871561,31871397,31871047,31870702,31869637,31869257,31866126,31865784,31865601,31865388,31865080,31864910,31864736,31863748	family	panther,pfam
FYN__SH3-like domain superfamily	ENST00000354650	chr6	-	111660332	111873452	111720051	111661739	5	111719805,111714347,111707922,111703999,111702997	111719850,111714443,111708020,111704102,111703034	homologous_superfamily	ssf
FYN__SH3 domain	ENST00000354650	chr6	-	111660332	111873452	111720051	111661739	3	111719805,111714347,111707936	111719808,111714443,111708020	domain	profile,pfam,smart,prints
FYN__Fyn/Yrk, SH3 domain	ENST00000354650	chr6	-	111660332	111873452	111720051	111661739	2	111714347,111707945	111714438,111708020	domain	cdd
FYN__SH2 domain superfamily	ENST00000354650	chr6	-	111660332	111873452	111720051	111661739	5	111707922,111703999,111702885,111700104,111696446	111707947,111704102,111703034,111700268,111696456	homologous_superfamily	cathgene3d,ssf
FYN__SH2 domain	ENST00000354650	chr6	-	111660332	111873452	111720051	111661739	4	111707922,111703999,111702885,111700228	111707926,111704102,111703034,111700268	domain	profile,smart,pfam,prints
FYN__Protein kinase-like domain superfamily	ENST00000354650	chr6	-	111660332	111873452	111720051	111661739	6	111700104,111696277,111694628,111694375,111674499,111661766	111700194,111696456,111694704,111694528,111674630,111661947	homologous_superfamily	ssf
FYN__Protein kinase domain	ENST00000354650	chr6	-	111660332	111873452	111720051	111661739	6	111700104,111696277,111694628,111694375,111674499,111661781	111700155,111696456,111694704,111694528,111674630,111661947	domain	profile,pfam,smart
FYN__Serine-threonine/tyrosine-protein kinase, catalytic domain	ENST00000354650	chr6	-	111660332	111873452	111720051	111661739	6	111700104,111696277,111694628,111694375,111674499,111661793	111700155,111696456,111694704,111694528,111674630,111661947	domain	pfam,prints
FYN__Tyrosine-protein kinase, catalytic domain	ENST00000354650	chr6	-	111660332	111873452	111720051	111661739	6	111700104,111696277,111694628,111694375,111674499,111661793	111700155,111696456,111694704,111694528,111674630,111661947	domain	smart
FYN__Protein kinase, ATP binding site	ENST00000354650	chr6	-	111660332	111873452	111720051	111661739	2	111700104,111696422	111700137,111696456	binding_site	prosite
FYN__Tyrosine-protein kinase, active site	ENST00000354650	chr6	-	111660332	111873452	111720051	111661739	1	111694454	111694492	active_site	prosite
RIMS1__Rim-like	ENST00000521978	chr6	+	71886550	72403145	71887024	72400714	34	71887024,71968983,72096949,72099975,72179575,72182284,72233773,72235618,72237823,72242314,72245815,72248015,72250330,72250921,72251215,72252761,72258125,72258986,72260705,72264975,72265390,72265960,72274349,72284047,72290679,72291934,72307258,72313506,72333600,72390598,72392698,72398249,72398955,72400496	71887187,71969063,72097162,72099986,72179915,72183149,72233840,72235728,72237922,72242437,72245861,72248127,72250460,72251092,72251368,72252832,72258281,72259111,72260767,72265052,72265503,72266049,72274432,72284118,72290861,72292046,72307370,72313672,72333835,72390736,72392810,72398350,72399094,72400711	family	panther
RIMS1__Zinc finger, RING/FYVE/PHD-type	ENST00000521978	chr6	+	71886550	72403145	71887024	72400714	5	71887069,71968983,72096949,72099975,72179575	71887187,71969063,72097162,72099986,72179694	homologous_superfamily	cathgene3d
RIMS1__Rab-binding domain	ENST00000521978	chr6	+	71886550	72403145	71887024	72400714	5	71887087,71968983,72096949,72099975,72179575	71887187,71969063,72097162,72099986,72179649	domain	profile
RIMS1__Zinc finger, FYVE/PHD-type	ENST00000521978	chr6	+	71886550	72403145	71887024	72400714	5	71887099,71968983,72096949,72099975,72179575	71887187,71969063,72097162,72099986,72179667	homologous_superfamily	ssf
RIMS1__FYVE-type zinc finger	ENST00000521978	chr6	+	71886550	72403145	71887024	72400714	3	72097016,72099975,72179575	72097162,72099986,72179643	domain	pfam
RIMS1__Zinc finger, FYVE-related	ENST00000521978	chr6	+	71886550	72403145	71887024	72400714	3	72097031,72099975,72179575	72097162,72099986,72179613	domain	profile
RIMS1__PDZ superfamily	ENST00000521978	chr6	+	71886550	72403145	71887024	72400714	5	72233811,72235618,72237823,72242314,72245815	72233840,72235728,72237922,72242437,72245842	homologous_superfamily	ssf,cathgene3d
RIMS1__PDZ domain	ENST00000521978	chr6	+	71886550	72403145	71887024	72400714	3	72235684,72237823,72242314	72235728,72237922,72242435	domain	profile,pfam,smart
RIMS1__C2 domain superfamily	ENST00000521978	chr6	+	71886550	72403145	71887024	72400714	8	72248104,72250330,72250921,72251215,72392756,72398249,72398955,72400496	72248127,72250460,72251092,72251283,72392810,72398350,72399094,72400648	homologous_superfamily	ssf,cathgene3d
RIMS1__C2 domain	ENST00000521978	chr6	+	71886550	72403145	71887024	72400714	8	72248110,72250330,72250921,72251215,72392804,72398249,72398955,72400496	72248127,72250460,72251092,72251271,72392810,72398350,72399094,72400609	domain	profile,smart,pfam,prints
TRIM40__Zinc finger, RING/FYVE/PHD-type	ENST00000396581	chr6	+	30136124	30148735	30137037	30147812	1	30137049	30137219	homologous_superfamily	cathgene3d
TRIM40__Zinc finger, RING-type	ENST00000396581	chr6	+	30136124	30148735	30137037	30147812	1	30137076	30137207	domain	profile,pfam,smart
TRIM40__RING-type zinc-finger, LisH dimerisation motif	ENST00000396581	chr6	+	30136124	30148735	30137037	30147812	1	30137076	30137198	domain	pfam
TRIM40__Zinc finger, RING-type, conserved site	ENST00000396581	chr6	+	30136124	30148735	30137037	30147812	1	30137121	30137150	conserved_site	prosite
TRIM40__B-box-type zinc finger	ENST00000396581	chr6	+	30136124	30148735	30137037	30147812	1	30137232	30137357	domain	profile,smart,pfam
WBSCR17__Nucleotide-diphospho-sugar transferases	ENST00000333538	chr7	+	71132144	71713600	71132803	71712146	7	71335558,71388235,71415889,71420908,71571285,71665411,71669972	71335733,71388401,71416063,71421105,71571402,71665596,71670091	homologous_superfamily	ssf,cathgene3d
WBSCR17__Glycosyltransferase 2-like	ENST00000333538	chr7	+	71132144	71713600	71132803	71712146	4	71388275,71415889,71420908,71571285	71388401,71416063,71421105,71571327	domain	pfam
WBSCR17__N-acetylgalactosaminyltransferase	ENST00000333538	chr7	+	71132144	71713600	71132803	71712146	6	71388275,71415889,71420908,71571285,71665411,71669972	71388401,71416063,71421105,71571402,71665596,71670067	domain	cdd
WBSCR17__Ricin B-like lectins	ENST00000333538	chr7	+	71132144	71713600	71132803	71712146	4	71670089,71677211,71710761,71712018	71670109,71677306,71710928,71712134	homologous_superfamily	ssf
WBSCR17__Ricin B, lectin domain	ENST00000333538	chr7	+	71132144	71713600	71132803	71712146	4	71670098,71677211,71710761,71712018	71670109,71677306,71710928,71712131	domain	profile,cdd,pfam,smart
GPNMB__PKDâ€ and KLDâ€Associated Transmembrane	ENST00000258733	chr7	+	23235967	23275108	23246858	23274224	11	23246870,23253307,23254169,23256892,23259980,23260456,23266517,23267886,23269967,23273521,23274065	23246927,23253459,23254312,23257065,23260138,23260773,23266615,23267988,23270175,23273614,23274242	family	panther
GPNMB__PKD/Chitinase domain	ENST00000258733	chr7	+	23235967	23275108	23246858	23274224	3	23260503,23266517,23267886	23260773,23266615,23267926	domain	smart
GPNMB__Immunoglobulin-like fold	ENST00000258733	chr7	+	23235967	23275108	23246858	23274224	1	23260524	23260718	homologous_superfamily	cathgene3d
GPNMB__PKD domain superfamily	ENST00000258733	chr7	+	23235967	23275108	23246858	23274224	1	23260566	23260703	homologous_superfamily	ssf
GPNMB__PKD domain	ENST00000258733	chr7	+	23235967	23275108	23246858	23274224	1	23260584	23260712	domain	profile,pfam
FAM49B__CYFIP-related Rac1 interactor	ENST00000519824	chr8	-	129839593	130017129	129879461	129842142	10	129879389,129871375,129862229,129855611,129854266,129852162,129850835,129849243,129846804,129842145	129879461,129871496,129862334,129855747,129854343,129852278,129850914,129849369,129846874,129842205	family	panther
FAM49B__CYRIA/CYRIB, Rac1 binding domain	ENST00000519824	chr8	-	129839593	130017129	129879461	129842142	10	129879389,129871375,129862229,129855611,129854266,129852162,129850835,129849243,129846804,129842157	129879407,129871496,129862334,129855747,129854343,129852278,129850914,129849369,129846874,129842205	domain	pfam
BIN3__BAR domain	ENST00000276416	chr8	-	22620418	22669148	22621422	22669051	8	22644755,22636922,22636525,22630442,22629964,22624222,22623915,22621488	22644799,22636962,22636586,22630578,22630004,22624363,22624049,22621568	domain	profile,smart,pfam
BIN3__Bridging integrator 3, BAR domain	ENST00000276416	chr8	-	22620418	22669148	22621422	22669051	8	22644755,22636922,22636525,22630442,22629964,22624222,22623915,22621476	22644778,22636962,22636586,22630578,22630004,22624363,22624049,22621568	domain	cdd
BIN3__AH/BAR domain superfamily	ENST00000276416	chr8	-	22620418	22669148	22621422	22669051	8	22644755,22636922,22636525,22630442,22629964,22624222,22623915,22621485	22644769,22636962,22636586,22630578,22630004,22624363,22624049,22621568	homologous_superfamily	ssf,cathgene3d
FGF20__Fibroblast growth factor family	ENST00000180166	chr8	-	16992181	17002345	17002032	16993072	3	17001747,16995655,16993075	17001996,16995758,16993317	family	cdd,prosite,pfam,smart,panther,prints
FGF20__Fibroblast growth factor 20	ENST00000180166	chr8	-	16992181	17002345	17002032	16993072	3	17001747,16995655,16993075	17001996,16995758,16993317	family	panther
FGF20__Cytokine IL1/FGF	ENST00000180166	chr8	-	16992181	17002345	17002032	16993072	3	17001747,16995655,16993096	17001864,16995758,16993317	homologous_superfamily	ssf
CTSB__Papain-like cysteine peptidase superfamily	ENST00000353047	chr8	-	11842524	11869533	11853454	11845125	9	11853329,11852610,11850866,11849046,11848067,11847679,11847052,11845661,11845152	11853397,11852695,11850980,11849164,11848152,11847822,11847168,11845789,11845222	homologous_superfamily	ssf
CTSB__Peptidase C1A, propeptide	ENST00000353047	chr8	-	11842524	11869533	11853454	11845125	2	11853329,11852633	11853379,11852695	domain	pfam
CTSB__Peptidase C1A, papain C-terminal	ENST00000353047	chr8	-	11842524	11869533	11853454	11845125	7	11850866,11849046,11848067,11847679,11847052,11845661,11845158	11850955,11849164,11848152,11847822,11847168,11845789,11845222	domain	smart,prints,pfam
CTSB__Cysteine peptidase, cysteine active site	ENST00000353047	chr8	-	11842524	11869533	11853454	11845125	2	11850866,11849153	11850889,11849164	active_site	prosite
CTSB__Cysteine peptidase, histidine active site	ENST00000353047	chr8	-	11842524	11869533	11853454	11845125	1	11845725	11845757	active_site	prosite
CTSB__Cysteine peptidase, asparagine active site	ENST00000353047	chr8	-	11842524	11869533	11853454	11845125	2	11845661,11845209	11845706,11845222	active_site	prosite
SH3GL2__AH/BAR domain superfamily	ENST00000380607	chr9	+	17579066	17797124	17579243	17795743	8	17579243,17747066,17761437,17786381,17787380,17789392,17791231,17793367	17579287,17747134,17761509,17786524,17787513,17789550,17791334,17793379	homologous_superfamily	ssf,cathgene3d
SH3GL2__BAR domain	ENST00000380607	chr9	+	17579066	17797124	17579243	17795743	8	17579255,17747066,17761437,17786381,17787380,17789392,17791231,17793367	17579287,17747134,17761509,17786524,17787513,17789550,17791334,17793385	domain	profile,smart,pfam
SH3GL2__SH3-like domain superfamily	ENST00000380607	chr9	+	17579066	17797124	17579243	17795743	2	17793488,17795544	17793497,17795725	homologous_superfamily	ssf
SH3GL2__SH3 domain	ENST00000380607	chr9	+	17579066	17797124	17579243	17795743	1	17795552	17795731	domain	profile,pfam,smart,prints
SH3GL2__Endophilin-A, SH3 domain	ENST00000380607	chr9	+	17579066	17797124	17579243	17795743	1	17795561	17795725	domain	cdd
UBAP2__UBA-like superfamily	ENST00000379238	chr9	-	33921693	34049388	34017148	33922504	4	34017050,33998787,33996223,33989088	34017082,33998864,33996333,33989126	homologous_superfamily	ssf
UBAP2__Ubiquitin-associated domain	ENST00000379238	chr9	-	33921693	34049388	34017148	33922504	2	33998787,33996238	33998807,33996333	domain	profile,pfam,smart
UBAP2__UBAP2/protein lingerer	ENST00000379238	chr9	-	33921693	34049388	34017148	33922504	2	33944365,33943503	33944376,33943589	family	pfam
PRSS3__Peptidase S1, PA clan	ENST00000379405	chr9	+	33750679	33799231	33795574	33799180	4	33797860,33798486,33799028,809	33798082,33798622,33799231,916	homologous_superfamily	ssf
PRSS3__Serine proteases, trypsin domain	ENST00000379405	chr9	+	33750679	33799231	33795574	33799180	4	33797866,33798486,33799028,809	33798082,33798622,33799231,916	domain	cdd,profile,smart,pfam
PRSS3__Peptidase S1, PA clan, chymotrypsin-like fold	ENST00000379405	chr9	+	33750679	33799231	33795574	33799180	4	33797905,33798486,33799028,809	33798082,33798622,33799231,904	homologous_superfamily	cathgene3d
PRSS3__Peptidase S1A, chymotrypsin family	ENST00000379405	chr9	+	33750679	33799231	33795574	33799180	3	33797944,33798509,33799184	33797991,33798553,33799222	family	prints
PRSS3__Serine proteases, trypsin family, histidine active site	ENST00000379405	chr9	+	33750679	33799231	33795574	33799180	1	33797974	33797991	active_site	prosite
ITGA8__Integrin alpha, N-terminal	ENST00000378076	chr10	-	15513954	15719922	15719771	15517158	15	15719563,15718766,15687938,15684004,15678722,15677592,15672624,15671603,15660879,15658999,15655354,15646846,15644030,15616514,15613755	15719657,15718899,15688038,15684127,15678783,15677637,15672749,15671647,15660922,15659055,15655406,15647051,15644221,15616559,15613767	homologous_superfamily	ssf,cathgene3d
ITGA8__Integrin alpha beta-propellor	ENST00000378076	chr10	-	15513954	15719922	15719771	15517158	18	15719563,15718770,15687938,15684023,15684004,15678722,15677592,15672691,15672624,15671603,15660879,15658999,15655354,15646846,15644115,15644030,15616514,15613719	15719642,15718899,15688018,15684127,15684010,15678783,15677637,15672749,15672639,15671647,15660922,15659055,15655406,15647051,15644221,15644126,15616559,15613767	repeat	smart,profile
ITGA8__Integrin alpha chain	ENST00000378076	chr10	-	15513954	15719922	15719771	15517158	16	15672624,15671622,15671603,15660888,15658999,15655354,15647051,15646846,15644202,15644030,15616546,15616514,15613725,15606363,15519290,15517227	15672636,15671647,15671603,15660922,15659007,15655406,15647051,15646900,15644221,15644081,15616559,15616530,15613767,15606404,15519331,15517244	family	prints
ITGA8__FG-GAP repeat	ENST00000378076	chr10	-	15513954	15719922	15719771	15517158	4	15655354,15646964,15646846,15644163	15655394,15647051,15646897,15644221	repeat	pfam
ITGA8__Integrin alpha-2	ENST00000378076	chr10	-	15513954	15719922	15719771	15517158	13	15613660,15608235,15607677,15606285,15605724,15604208,15597207,15592225,15586584,15575489,15572211,15558074,15548533	15613766,15608290,15607831,15606422,15605791,15604355,15597299,15592304,15586664,15575594,15572369,15558202,15548568	domain	pfam
ITGA8__Integrin domain superfamily	ENST00000378076	chr10	-	15513954	15719922	15719771	15517158	17	15613660,15608235,15607677,15606285,15605765,15605724,15604208,15597207,15592225,15586622,15586584,15575489,15572211,15558074,15548455,15531050,15519350	15613760,15608290,15607831,15606422,15605791,15605764,15604355,15597299,15592304,15586664,15586603,15575594,15572369,15558202,15548568,15531151,15519412	homologous_superfamily	ssf
ITGA8__Integrin alpha chain, C-terminal cytoplasmic region, conserved site	ENST00000378076	chr10	-	15513954	15719922	15719771	15517158	2	15519290,15517203	15519295,15517244	conserved_site	prosite,pfam
CUEDC2__CUE domain-containing protein 2	ENST00000369937	chr10	-	102423245	102432584	102425188	102423426	8	102425115,102424649,102424499,102424264,102423996,102423798,102423657,102423429	102425188,102424792,102424560,102424394,102424178,102423859,102423717,102423572	family	panther
CUEDC2__Ubiquitin system component CUE	ENST00000369937	chr10	-	102423245	102432584	102425188	102423426	1	102424029	102424160	domain	profile,pfam,smart
CUEDC2__CUE domain-containing protein 2, CUE domain	ENST00000369937	chr10	-	102423245	102432584	102425188	102423426	1	102424032	102424151	domain	cdd
INPP5F__SAC domain	ENST00000650623	chr10	+	119726042	119829147	119726263	119827780	12	119751126,119781635,119791517,119791869,119792157,119796715,119797461,119798543,119804173,119805384,119806360,119807932	119751156,119781771,119791645,119792036,119792213,119796913,119797640,119798610,119804297,119805461,119806480,119808045	domain	profile,pfam
INPP5F__Inositol phosphatase	ENST00000650623	chr10	+	119726042	119829147	119726263	119827780	4	119811843,119820846,119822431,119823071	119811955,119820917,119822504,119823129	domain	pfam
INPP5F__hSac2 domain	ENST00000650623	chr10	+	119726042	119829147	119726263	119827780	6	119811846,119820846,119822431,119823071,119823815,119826631	119811955,119820917,119822504,119823199,119823902,119826661	domain	profile
SEC23IP__SEC23-interacting protein, SAM domain	ENST00000369075	chr10	+	119892730	119944657	119892783	119933767	2	119919483,119920889	119919596,119920969	domain	cdd
SEC23IP__Sterile alpha motif domain	ENST00000369075	chr10	+	119892730	119944657	119892783	119933767	2	119919492,119920889	119919596,119920981	domain	profile,pfam,smart
SEC23IP__Sterile alpha motif/pointed domain superfamily	ENST00000369075	chr10	+	119892730	119944657	119892783	119933767	3	119919510,119920889,119926036	119919596,119920984,119926074	homologous_superfamily	cathgene3d,ssf
SEC23IP__DDHD domain	ENST00000369075	chr10	+	119892730	119944657	119892783	119933767	5	119929628,119930329,119932133,119933005,119933686	119929762,119930431,119932318,119933167,119933731	domain	smart,profile,pfam
BAG3__WW domain superfamily	ENST00000369085	chr10	+	119651380	119677819	119651676	119677282	1	119651730	119651840	homologous_superfamily	ssf
BAG3__WW domain	ENST00000369085	chr10	+	119651380	119677819	119651676	119677282	1	119651733	119651837	domain	pfam,cdd,prosite,profile,smart
BAG3__Molecular chaperone regulator BAG	ENST00000369085	chr10	+	119651380	119677819	119651676	119677282	4	119651745,119669851,119672255,119676464	119651855,119670177,119672656,119677279	family	panther
BAG3__BAG domain superfamily	ENST00000369085	chr10	+	119651380	119677819	119651676	119677282	1	119676737	119677054	homologous_superfamily	cathgene3d,ssf
BAG3__BAG domain	ENST00000369085	chr10	+	119651380	119677819	119651676	119677282	1	119676815	119677048	domain	profile,pfam,smart
GBF1__Armadillo-type fold	ENST00000369983	chr10	+	102245371	102382899	102258939	102382336	25	102344065,102351256,102351843,102352458,102353600,102358039,102358506,102359267,102360184,102361022,102361718,102362475,102363256,102363710,102365397,102366383,102367085,102367478,102368218,102368739,102369211,102369711,102369861,102370174,102370384	102344182,102351374,102351951,102352518,102353654,102358186,102358729,102359435,102360395,102361120,102361912,102362664,102363396,102363798,102365599,102366506,102367210,102367560,102368454,102368832,102369387,102369775,102369984,102370245,102370464	homologous_superfamily	ssf
GBF1__Guanine nucleotide exchange factor, N-terminal	ENST00000369983	chr10	+	102245371	102382899	102258939	102382336	3	102360210,102361022,102361718	102360395,102361120,102361876	domain	pfam
GBF1__Sec7 domain superfamily	ENST00000369983	chr10	+	102245371	102382899	102258939	102382336	6	102363760,102365397,102366383,102367085,102367478,102368218	102363798,102365599,102366506,102367210,102367560,102368236	homologous_superfamily	ssf
GBF1__Sec7 domain	ENST00000369983	chr10	+	102245371	102382899	102258939	102382336	6	102363766,102365397,102366383,102367085,102367478,102368218	102363798,102365599,102366506,102367210,102367560,102368227	domain	cdd,profile,pfam,smart
GBF1__Sec7, C-terminal domain superfamily	ENST00000369983	chr10	+	102245371	102382899	102258939	102382336	4	102366390,102367085,102367478,102368218	102366506,102367210,102367560,102368269	homologous_superfamily	cathgene3d
IGSF9B__Immunoglobulin-like fold	ENST00000533871	chr11	-	133896438	133956968	133956754	133909069	21	133946061,133944220,133937954,133937810,133937377,133937376,133936053,133935624,133935617,133932071,133931655,133931564,133931453,133930985,133930984,133929671,133926916,133925937,133925739,133924820,133922726	133946244,133944366,133937961,133937953,133937493,133937376,133936194,133935762,133935623,133932213,133931795,133931569,133931563,133931134,133930984,133929782,133927091,133925965,133925933,133924904,133922730	homologous_superfamily	cathgene3d
IGSF9B__Immunoglobulin-like domain superfamily	ENST00000533871	chr11	-	133896438	133956968	133956754	133909069	15	133946061,133944220,133937942,133944220,133937810,133937376,133936181,133936053,133935617,133932209,133932071,133931655,133931453,133930984,133929781	133946241,133944366,133937961,133944226,133937961,133937493,133936194,133936192,133935762,133932213,133932202,133931795,133931569,133931134,133929782	homologous_superfamily	ssf
IGSF9B__Immunoglobulin subtype	ENST00000533871	chr11	-	133896438	133956968	133956754	133909069	10	133946061,133944227,133937810,133937377,133936053,133935618,133932071,133931655,133931453,133930985	133946235,133944366,133937935,133937493,133936171,133935762,133932190,133931795,133931545,133931134	domain	smart
IGSF9B__Immunoglobulin subtype 2	ENST00000533871	chr11	-	133896438	133956968	133956754	133909069	10	133946061,133944269,133937810,133937410,133936053,133935654,133932071,133931694,133931453,133931018	133946217,133944366,133937917,133937493,133936153,133935762,133932172,133931795,133931524,133931134	domain	smart
IGSF9B__Immunoglobulin-like domain	ENST00000533871	chr11	-	133896438	133956968	133956754	133909069	10	133946061,133944284,133937810,133937377,133936053,133935624,133932071,133931661,133931453,133930991	133946211,133944366,133937956,133937493,133936192,133935762,133932211,133931795,133931563,133931134	domain	pfam,profile
IGSF9B__Immunoglobulin V-set domain	ENST00000533871	chr11	-	133896438	133956968	133956754	133909069	6	133946061,133944284,133937810,133937425,133936053,133935669	133946205,133944366,133937905,133937493,133936141,133935762	domain	pfam,smart
IGSF9B__Fibronectin type III	ENST00000533871	chr11	-	133896438	133956968	133956754	133909069	8	133936053,133935678,133929671,133926916,133925961,133925739,133924820,133922726	133936180,133935762,133929774,133927091,133925965,133925933,133924904,133922730	domain	profile,cdd,pfam,smart
IGSF9B__Fibronectin type III superfamily	ENST00000533871	chr11	-	133896438	133956968	133956754	133909069	4	133929671,133926916,133925739,133924836	133929777,133927091,133925965,133924904	homologous_superfamily	ssf
RNF141__Zinc finger, RING/FYVE/PHD-type	ENST00000265981	chr11	-	10511673	10541230	10534158	10514916	2	10519034,10515018	10519122,10515066	homologous_superfamily	cathgene3d
